Taxon,Domain,Phylum,Class,Order,Family,Genus,Species,Confidence
1b158b8b2922d4fcad5d9cea607cbb7d,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Escherichia-Shigella,,0.989965962
c16155c1bf450f554a04baaf8f9a816f,Bacteria, Actinobacteriota, Actinobacteria, Corynebacteriales, Dietziaceae, Dietzia,,0.998029807
f2e4355abb553aed0f53a97b59f2acf2,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae,,,0.972634313
b24ea4b576fa926415d022a20d00343e,Bacteria, Firmicutes, Bacilli, Lactobacillales, Leuconostocaceae, Weissella,,0.999992246
62551e3c3feb51a0bfab2ad0d301be4b,Bacteria, Myxococcota, Myxococcia, Myxococcales, Myxococcaceae, Melittangium, Melittangium_lichenicola,0.993672227
9977d541a8302a9ae18d149b33354f85,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas,,0.999873138
40b449338fe61151d5762fd0ed15448c,Archaea, Euryarchaeota, Methanobacteria, Methanobacteriales, Methanobacteriaceae, Methanobrevibacter, Methanobrevibacter_sp.,0.764352503
d817887e869c0285e0c36d19741fca9a,Bacteria, Verrucomicrobiota, Verrucomicrobiae, Verrucomicrobiales, Akkermansiaceae, Akkermansia,,0.99999992
76823fdb063a4a583bc60f439ac9ba43,Bacteria, Firmicutes, Clostridia, Oscillospirales, Ruminococcaceae, Anaerotruncus,,0.830460008
77d90696560305be6b22554bfd1962d8,Bacteria, Firmicutes, Bacilli, Erysipelotrichales, Erysipelatoclostridiaceae, Candidatus_Stoquefichus,,0.815225623
c3d4cfe6e5e2cbb6a97da722e2366114,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides,,0.999999996
5c1c3aa3359b435c80bf947a05d69531,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides,,0.999999004
422039d63f749112ebb90814246373a7,Bacteria, Firmicutes, Clostridia, Oscillospirales, [Eubacterium]_coprostanoligenes_group, [Eubacterium]_coprostanoligenes_group,,0.99975447
cad95640f2a6bea13bfc8a6ae002a92d,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Rikenellaceae, Alistipes, uncultured_bacterium,0.93690498
37bd24f62cd413edef6861bae17cedf2,Bacteria, Firmicutes, Clostridia, Oscillospirales, Ruminococcaceae, Negativibacillus, uncultured_bacterium,0.711187698
3defc5c6021d1d998306254c25b37c87,Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium_sensu_stricto_1, Clostridium_colicanis,0.904628204
6c8f71e67c7dc8f5926964e68e6e4594,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides, Bacteroides_sp.,0.766816829
989d596ed57064a945e56261d8915f5e,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides,,0.997560995
6cc406fc0fce9bee3fe3d952c7a974ec,Bacteria, Firmicutes, Clostridia, Oscillospirales, Oscillospiraceae, uncultured, uncultured_Clostridiales,0.799439323
59bd33f4bf97230d3385d6f242ca8a23,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides,,0.999999994
8e86a78cf5980eec484ebdc9144b0935,Bacteria, Firmicutes, Clostridia, Oscillospirales, Ruminococcaceae, Paludicola, uncultured_bacterium,0.849346858
64032cd2f2566a9f48c45f794fb5faba,Bacteria, Firmicutes, Clostridia, Oscillospirales, Oscillospiraceae, uncultured,,0.834555826
0a53f15aacf468ea98dda4d1d151089f,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides,,0.999999966
f4407f029aed576258bccdc14d20de05,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Tannerellaceae, Parabacteroides, Parabacteroides_sp.,0.80723111
2dc77819980b721547295609b06b2317,Bacteria, Firmicutes, Bacilli, Erysipelotrichales, Erysipelotrichaceae,,,0.999998806
82a71b8a964a23d005320f19ad0ec29f,Bacteria, Firmicutes, Clostridia, Lachnospirales, Lachnospiraceae, Lachnospiraceae_NK4A136_group,,0.836495373
12919c7b95bbf2d1ba6eb3f2f4b65988,Bacteria, Firmicutes, Clostridia, Oscillospirales, Oscillospiraceae,,,0.988021494
dabcefdfa5fa8d61331ca94b9f90ebbf,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides,,0.99988413
0281834f9283d7aebe967dd0bdd3e7fb,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Marinifilaceae, Butyricimonas, uncultured_bacterium,0.851758252
db5c8fecbdcbb26edb7d7a404dddb756,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas,,0.999539602
b9aa7dff213a042bf2b7dad3199aea54,Bacteria, Firmicutes, Bacilli, Erysipelotrichales, Erysipelotrichaceae, Faecalitalea,,0.998391949
b0a5aba0f7393c950b41b5592e98c8cd,Bacteria, Firmicutes, Clostridia, Lachnospirales, Lachnospiraceae, Lachnoclostridium, Clostridium_sp.,0.726647607
a9ca72124e1c3d671a30075a82f7cddf,Bacteria, Firmicutes, Clostridia, Peptococcales, Peptococcaceae, uncultured, uncultured_bacterium,0.71260781
35d976b64c978b4c55638c04f95f1348,Bacteria, Firmicutes, Clostridia, Clostridia_vadinBB60_group, Clostridia_vadinBB60_group, Clostridia_vadinBB60_group, uncultured_bacterium,0.814968675
3b44d1945a2407d9ab7532d922449c28,Bacteria, Proteobacteria, Gammaproteobacteria, Burkholderiales, Comamonadaceae, Polaromonas,,0.881173907
76f3b48afb7b52cf3769b9becbe328eb,Bacteria, Firmicutes, Clostridia, Lachnospirales, Lachnospiraceae,,,0.999998533
7b49a91a3d51d69e0d6b3a1524b876c9,Bacteria, Firmicutes, Clostridia, Oscillospirales, Ruminococcaceae, uncultured, uncultured_bacterium,0.740132975
4f7dde1bb07b95fd8862c664cc362cf6,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides,,0.999999672
0609013107833a413d956c76cdc73def,Bacteria, Firmicutes, Clostridia, Oscillospirales, Oscillospiraceae, Oscillibacter,,0.952377568
064adc0178077427f1b5ae6466e533e0,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas,,0.999871611
c8e27460caf05f4eae39b77515549901,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides, Bacteroides_sp.,0.746470543
1094d9959c60b054f3b3b6d24558ebf4,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides,,0.999707667
491b6a43515179ddb744f94263beae74,Bacteria, Firmicutes, Clostridia, Lachnospirales, Lachnospiraceae,,,0.999998333
2bf845e8a7bbd5adb08b3dd014861007,Bacteria, Firmicutes, Clostridia, Lachnospirales, Lachnospiraceae,,,0.999997409
