FrogID,Bd_loads,Bd_Log,Bd_mass_Log,Bd_Bin,Bd_01,Site,Date,Habitat,Habitat2,Lat,Long,Temp,SVL,Mass,Sex,evenness_skin,faith_skin,observed_skin,shannon_skin,UU_PC1_skin,UU_PC2_skin,BC_PC1_skin,BC_PC2_skin,WU_PC1_skin,WU_PC2_skin,Ja_PC1_skin,Ja_PC2_skin,skin_BCdispersion,Inhib_Prop_skin,Facil_Prop_skin,evenness_gut,faith_gut,observed_gut,shannon_gut,UU_PC1_gut,UU_PC2_gut,BC_PC1_gut,BC_PC2_gut,WU_PC1_gut,WU_PC2_gut,Ja_PC1_gut,Ja_PC2_gut,gut_BCdispersion,Inhib_Prop_gut,Facil_Prop_gut,Helminth_Richness,Helm_Abundance,Helm_Log,Helm_Shannon,Helm_Tax.Div,Helm_BCPCo1,Helm_BCPCo2,Helm_JaPCo1,Helm_JaPCo2,Nem_Richness,Nem_Abundance,Nem_Log,Nem_Shannon,Nem_Tax.Div,Cosmocercidae I,Cosmocercidae II,Ochoterenella sp,Oswaldocruzia subauricularis,Oxyascaris similis,Physaloptera sp.,Raillietnema sp.,Rhabdias sp1,Rhabdias sp2,Acanthocephala,Cestoda
WN_1,0,0,0,N,0,LuizFelipe,10/29/2021,Fragment,1,-23.183754,-45.385712,17.8,83,39.2,F,0.712754299,19.42428155,333,5.972437952,0.09146342,-0.031183661,0.1868891,0.025978462,-0.034075413,0.096610751,0.258220924,-0.326586505,0.563737426,0.116666667,0.001666667,0.270165605,11.36681002,97,1.783069446,0.146692397,-0.104562328,-0.187406468,0.586877474,0.227739973,-0.112810146,-0.127951811,-0.043525021,0.636125365,0.005,0,0,0,0,0,0,0.080308389,-0.177375073,0.0500398,-0.1302278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WN_11,0,0,0,N,0,JoaoPaulo,10/30/2021,Fragment,1,-23.171846,-45.293511,17.8,69,19,F,0.770833295,17.26043862,260,6.183908213,0.043537011,-0.127707369,-0.171849404,0.010130538,-0.114580709,-0.047323477,0.109752435,-0.003155851,0.63723731,0.201,0.016333333,0.327606135,6.626311004,57,1.910890555,-0.026910404,0.194618506,-0.135430587,-0.018010488,0.049712545,0.235202413,0.172155209,0.253990936,0.697402832,0.012333333,0,1,2,0.477121255,0,0,-0.403306578,0.261476551,-0.37558041,0.18183432,1,2,0.477121255,0,0,2,0,0,0,0,0,0,0,0,0,0
WN_15,0,0,0,N,0,JoaoPaulo,10/30/2021,Fragment,1,-23.173678,-45.293898,17.8,84,37.4,M,0.720136584,26.11065789,327,6.015406623,0.01394051,-0.21153278,-0.34946087,0.357802482,-0.022100712,-0.102088891,0.092715584,0.227595692,0.619163562,0.110333333,3.33E-04,0.767978795,19.09902046,240,6.072324314,-0.079411055,0.310474961,-0.111862985,-0.043382748,-0.004121533,0.088498574,0.128150226,0.179425313,0.676501426,0.048333333,0.001333333,2,35,1.556302501,0.458144179,18.98209136,-0.090333418,-0.262470934,-0.02412895,-0.27551987,2,35,1.556302501,0.458144179,22.77850963,29,0,0,6,0,0,0,0,0,0,0
WN_16,2002.773071,3.301848536,1.676401416,P,1,JoaoPaulo,10/30/2021,Fragment,1,-23.173678,-45.293898,17.8,85,43.1,F,0.885982375,25.64625309,427,7.741795733,0.003266374,-0.209126782,-0.218101658,0.008736359,-0.199519546,-0.08408946,0.184634776,-0.004409295,0.671671324,0.118,0.001,0.075636912,4.413367821,34,0.384799978,-0.099456683,-0.357103258,-0.259904106,0.590521104,0.269465035,-0.078706803,-0.104069093,-0.302300266,0.659844459,0,0,1,3,0.602059991,0,0,-0.004143697,-0.505059472,0.01803159,-0.35922058,1,3,0.602059991,0,0,0,0,0,3,0,0,0,0,0,0,0
WN_17,0,0,0,N,0,JoaoPaulo,10/30/2021,Fragment,1,-23.173597,-45.293217,17.8,80,32.6,NA,0.893672471,24.2666024,434,7.829957137,-0.006871968,-0.023188719,-0.17892512,-0.097597726,-0.278948131,-0.008452457,0.126922988,-0.252057439,0.664446931,0.025333333,0.005,0.316986863,3.451166515,19,1.346537219,-0.320631146,-0.296279197,0.491211728,0.031069028,-0.107371506,0.117532287,0.152525741,-0.340269415,0.60767365,0.057,0,2,9,1,0.529706199,22.00239976,-0.176264646,0.028720358,-0.10798094,-0.07855704,2,9,1,0.529706199,26.40287971,2,0,7,0,0,0,0,0,0,0,0
WN_18,1431.679382,3.156149011,1.308500784,P,1,Minutal,10/31/2021,Continuous,0,-23.385754,-45.187133,17,97,74,M,0.663958563,25.46686085,432,5.812882525,-0.232811352,0.146733724,0.243866687,-0.077756296,0.079458596,0.168908854,-0.360585015,-0.048352871,0.533302926,0.033333333,0.004,0.413933973,7.207193371,48,2.311805715,-0.188072315,0.120711459,-0.325324824,-0.308872088,0.095972125,0.208163139,0.195398478,0.001423346,0.652724277,0.6,0,2,365,2.563481085,0.12557498,23.41401402,0.094234809,-0.286241372,0.06227686,-0.21305976,2,365,2.563481085,0.12557498,28.09681683,0,0,0,10,0,0,355,0,0,0,0
WN_19,618.9067535,2.792326368,0.871586756,P,1,Minutal,10/31/2021,Continuous,0,-23.385754,-45.187133,17,106,96.1,M,0.849891031,23.55046091,449,7.488025808,-0.232944397,0.172429243,-0.096860162,-0.324976135,-0.250226285,0.048900375,-0.38961948,-0.066234137,0.612005446,0.014333333,0.001666667,0.669708382,7.674485757,33,3.378273026,-0.10719394,0.019535868,0.226804889,0.025432599,-0.273325893,-0.10550967,0.161442476,-0.207854584,0.582421397,0.059666667,0,2,8,0.954242509,0.376770161,29.3277498,0.558956775,0.150445344,0.52102479,0.23837996,2,8,0.954242509,0.376770161,35.19329976,0,0,0,0,7,0,0,1,0,0,0
WN_2,0,0,0,N,0,LuizFelipe,10/29/2021,Fragment,1,-23.183754,-45.385712,17.8,85,49.4,M,0.795380569,19.6347051,316,6.604665854,0.08548639,-0.033978374,-0.19302475,-0.056089096,-0.271984977,-0.048018483,0.240799837,-0.320136966,0.685978634,0.202,6.67E-04,0.566851993,10.83316561,106,3.81373512,0.221082815,-0.104474185,0.356205256,-0.001587957,-0.184591693,-0.17575489,-0.342707682,-0.015202009,0.459358935,0.001333333,0,4,11,1.079181246,1.120950393,55.21817474,-0.169437534,-0.261160845,-0.07862507,-0.29076054,3,10,1.041392685,0.897945725,40.48029962,3,0,0,6,0,0,0,1,0,1,0
WN_20,5333.8396,3.727121366,1.832022997,P,1,Minutal,10/31/2021,Continuous,0,-23.385754,-45.187133,17,101,79.7,M,0.865115859,26.68832936,534,7.838551748,-0.256008259,0.175198976,-0.09426433,-0.348089392,-0.236299176,0.102965982,-0.399567903,-0.103446253,0.599038755,0.014333333,0.002666667,0.755406424,10.43261497,116,5.180562899,0.285705107,-0.024180126,-0.135076999,-0.100194303,0.158814368,-0.132732553,-0.252688107,0.042757801,0.666893829,0.065333333,0,3,14,1.176091259,1.078992208,41.16150445,0.250124885,0.155555603,0.27863471,0.10283567,3,14,1.176091259,1.078992208,49.39380534,4,0,0,0,6,0,0,4,0,0,0
WN_21,7803.212646,3.892329094,2.037736121,P,1,Minutal,10/31/2021,Continuous,0,-23.385754,-45.187133,17,97,72.2,M,0.684116022,17.35375042,288,5.589176591,-0.107328343,0.113531652,0.118103999,0.011830006,0.089681792,0.062186575,-0.229351906,-0.009819195,0.483478256,0.027,,,,,,,,,,,,,,,,,2,473,2.675778342,0.02733121,14.90290554,0.096591316,-0.277607033,0.0628255,-0.20819408,2,473,2.675778342,0.02733121,17.88348665,0,0,0,2,0,0,471,0,0,0,0
